"","Sequence_ID","Event_Pattern","Outcome_Next_Day_Direction"
"6",1,"MLM,MMM,HHH,HHH,HLH,MHM,MLM,HMM,HHH,HMH,HHH,HHH,LML,HLH,MMM,HHH,HMH,HLH,HHH,LML,HLH,MLM,LHL,MHM,HMH,HLH",0
"8",1,"MLM,MMM,HHH,HHH,HLH,MHM,MLM,HMM,HHH,HMH,HHH,HHH,LML,HLH,MMM,HHH,HMH,HLH,HHH,LML,HLH,MLM,LHL,MHM,HMH,HLH",1
"11",1,"MLM,MMM,HHH,HHH,HLH,MHM,MLM,HMM,HHH,HMH,HHH,HHH,LML,HLH,MMM,HHH,HMH,HLH,HHH,LML,HLH,MLM,LHL,MHM,HMH,HLH",1
"12",1,"MLM,MMM,HHH,HHH,HLH,MHM,MLM,HMM,HHH,HMH,HHH,HHH,LML,HLH,MMM,HHH,HMH,HLH,HHH,LML,HLH,MLM,LHL,MHM,HMH,HLH",0
"13",1,"MLM,MMM,HHH,HHH,HLH,MHM,MLM,HMM,HHH,HMH,HHH,HHH,LML,HLH,MMM,HHH,HMH,HLH,HHH,LML,HLH,MLM,LHL,MHM,HMH,HLH",0
"15",1,"MLM,MMM,HHH,HHH,HLH,MHM,MLM,HMM,HHH,HMH,HHH,HHH,LML,HLH,MMM,HHH,HMH,HLH,HHH,LML,HLH,MLM,LHL,MHM,HMH,HLH",1
"17",1,"MLM,MMM,HHH,HHH,HLH,MHM,MLM,HMM,HHH,HMH,HHH,HHH,LML,HLH,MMM,HHH,HMH,HLH,HHH,LML,HLH,MLM,LHL,MHM,HMH,HLH",0
"20",1,"MLM,MMM,HHH,HHH,HLH,MHM,MLM,HMM,HHH,HMH,HHH,HHH,LML,HLH,MMM,HHH,HMH,HLH,HHH,LML,HLH,MLM,LHL,MHM,HMH,HLH",0
"21",1,"MLM,MMM,HHH,HHH,HLH,MHM,MLM,HMM,HHH,HMH,HHH,HHH,LML,HLH,MMM,HHH,HMH,HLH,HHH,LML,HLH,MLM,LHL,MHM,HMH,HLH",0
"22",1,"MLM,MMM,HHH,HHH,HLH,MHM,MLM,HMM,HHH,HMH,HHH,HHH,LML,HLH,MMM,HHH,HMH,HLH,HHH,LML,HLH,MLM,LHL,MHM,HMH,HLH",1
"25",1,"MLM,MMM,HHH,HHH,HLH,MHM,MLM,HMM,HHH,HMH,HHH,HHH,LML,HLH,MMM,HHH,HMH,HLH,HHH,LML,HLH,MLM,LHL,MHM,HMH,HLH",0
"27",2,"LML,LHL,MLM,LLL,HLH,LML,HLH,LHL,HMH,LLL,LHL,MLM,MHM,HMM,HMH,HMH,LLL,MLM,HHH,MHM,MLM,HHH,LML,LLL,LLL,HLH",1
"28",2,"LML,LHL,MLM,LLL,HLH,LML,HLH,LHL,HMH,LLL,LHL,MLM,MHM,HMM,HMH,HMH,LLL,MLM,HHH,MHM,MLM,HHH,LML,LLL,LLL,HLH",0
"29",2,"LML,LHL,MLM,LLL,HLH,LML,HLH,LHL,HMH,LLL,LHL,MLM,MHM,HMM,HMH,HMH,LLL,MLM,HHH,MHM,MLM,HHH,LML,LLL,LLL,HLH",0
"33",2,"LML,LHL,MLM,LLL,HLH,LML,HLH,LHL,HMH,LLL,LHL,MLM,MHM,HMM,HMH,HMH,LLL,MLM,HHH,MHM,MLM,HHH,LML,LLL,LLL,HLH",1
"35",2,"LML,LHL,MLM,LLL,HLH,LML,HLH,LHL,HMH,LLL,LHL,MLM,MHM,HMM,HMH,HMH,LLL,MLM,HHH,MHM,MLM,HHH,LML,LLL,LLL,HLH",0
"36",2,"LML,LHL,MLM,LLL,HLH,LML,HLH,LHL,HMH,LLL,LHL,MLM,MHM,HMM,HMH,HMH,LLL,MLM,HHH,MHM,MLM,HHH,LML,LLL,LLL,HLH",1
"37",2,"LML,LHL,MLM,LLL,HLH,LML,HLH,LHL,HMH,LLL,LHL,MLM,MHM,HMM,HMH,HMH,LLL,MLM,HHH,MHM,MLM,HHH,LML,LLL,LLL,HLH",0
"42",2,"LML,LHL,MLM,LLL,HLH,LML,HLH,LHL,HMH,LLL,LHL,MLM,MHM,HMM,HMH,HMH,LLL,MLM,HHH,MHM,MLM,HHH,LML,LLL,LLL,HLH",0
"44",2,"LML,LHL,MLM,LLL,HLH,LML,HLH,LHL,HMH,LLL,LHL,MLM,MHM,HMM,HMH,HMH,LLL,MLM,HHH,MHM,MLM,HHH,LML,LLL,LLL,HLH",1
"45",2,"LML,LHL,MLM,LLL,HLH,LML,HLH,LHL,HMH,LLL,LHL,MLM,MHM,HMM,HMH,HMH,LLL,MLM,HHH,MHM,MLM,HHH,LML,LLL,LLL,HLH",1
"46",2,"LML,LHL,MLM,LLL,HLH,LML,HLH,LHL,HMH,LLL,LHL,MLM,MHM,HMM,HMH,HMH,LLL,MLM,HHH,MHM,MLM,HHH,LML,LLL,LLL,HLH",0
"47",2,"LML,LHL,MLM,LLL,HLH,LML,HLH,LHL,HMH,LLL,LHL,MLM,MHM,HMM,HMH,HMH,LLL,MLM,HHH,MHM,MLM,HHH,LML,LLL,LLL,HLH",1
"48",2,"LML,LHL,MLM,LLL,HLH,LML,HLH,LHL,HMH,LLL,LHL,MLM,MHM,HMM,HMH,HMH,LLL,MLM,HHH,MHM,MLM,HHH,LML,LLL,LLL,HLH",1
"49",2,"LML,LHL,MLM,LLL,HLH,LML,HLH,LHL,HMH,LLL,LHL,MLM,MHM,HMM,HMH,HMH,LLL,MLM,HHH,MHM,MLM,HHH,LML,LLL,LLL,HLH",0
"50",2,"LML,LHL,MLM,LLL,HLH,LML,HLH,LHL,HMH,LLL,LHL,MLM,MHM,HMM,HMH,HMH,LLL,MLM,HHH,MHM,MLM,HHH,LML,LLL,LLL,HLH",0
"51",2,"LML,LHL,MLM,LLL,HLH,LML,HLH,LHL,HMH,LLL,LHL,MLM,MHM,HMM,HMH,HMH,LLL,MLM,HHH,MHM,MLM,HHH,LML,LLL,LLL,HLH",0
"52",2,"LML,LHL,MLM,LLL,HLH,LML,HLH,LHL,HMH,LLL,LHL,MLM,MHM,HMM,HMH,HMH,LLL,MLM,HHH,MHM,MLM,HHH,LML,LLL,LLL,HLH",1
"53",3,"MLM,MHM,HMH,HLH,LHL,HLH,LLL,HMH,MLM,LHL,MMM,LHL,LHL,HLH,LML",1
"54",3,"MLM,MHM,HMH,HLH,LHL,HLH,LLL,HMH,MLM,LHL,MMM,LHL,LHL,HLH,LML",0
"55",3,"MLM,MHM,HMH,HLH,LHL,HLH,LLL,HMH,MLM,LHL,MMM,LHL,LHL,HLH,LML",0
"56",3,"MLM,MHM,HMH,HLH,LHL,HLH,LLL,HMH,MLM,LHL,MMM,LHL,LHL,HLH,LML",1
"57",3,"MLM,MHM,HMH,HLH,LHL,HLH,LLL,HMH,MLM,LHL,MMM,LHL,LHL,HLH,LML",0
"58",3,"MLM,MHM,HMH,HLH,LHL,HLH,LLL,HMH,MLM,LHL,MMM,LHL,LHL,HLH,LML",0
"61",3,"MLM,MHM,HMH,HLH,LHL,HLH,LLL,HMH,MLM,LHL,MMM,LHL,LHL,HLH,LML",1
"63",3,"MLM,MHM,HMH,HLH,LHL,HLH,LLL,HMH,MLM,LHL,MMM,LHL,LHL,HLH,LML",1
"64",3,"MLM,MHM,HMH,HLH,LHL,HLH,LLL,HMH,MLM,LHL,MMM,LHL,LHL,HLH,LML",1
"65",3,"MLM,MHM,HMH,HLH,LHL,HLH,LLL,HMH,MLM,LHL,MMM,LHL,LHL,HLH,LML",0
"67",3,"MLM,MHM,HMH,HLH,LHL,HLH,LLL,HMH,MLM,LHL,MMM,LHL,LHL,HLH,LML",0
"76",4,"HLH,HHH,MHM,HMH,HHH,HMH,LLL,MLM,MHM,LHL,LML,HLH,LHL,HLH,HMH,HMH,MMM,MLM,LHL,LML,LHL,HLH,HLH,HHH,LHL,LLL,LHL",1
"78",4,"HLH,HHH,MHM,HMH,HHH,HMH,LLL,MLM,MHM,LHL,LML,HLH,LHL,HLH,HMH,HMH,MMM,MLM,LHL,LML,LHL,HLH,HLH,HHH,LHL,LLL,LHL",0
"79",4,"HLH,HHH,MHM,HMH,HHH,HMH,LLL,MLM,MHM,LHL,LML,HLH,LHL,HLH,HMH,HMH,MMM,MLM,LHL,LML,LHL,HLH,HLH,HHH,LHL,LLL,LHL",1
"80",4,"HLH,HHH,MHM,HMH,HHH,HMH,LLL,MLM,MHM,LHL,LML,HLH,LHL,HLH,HMH,HMH,MMM,MLM,LHL,LML,LHL,HLH,HLH,HHH,LHL,LLL,LHL",0
"85",4,"HLH,HHH,MHM,HMH,HHH,HMH,LLL,MLM,MHM,LHL,LML,HLH,LHL,HLH,HMH,HMH,MMM,MLM,LHL,LML,LHL,HLH,HLH,HHH,LHL,LLL,LHL",1
"87",4,"HLH,HHH,MHM,HMH,HHH,HMH,LLL,MLM,MHM,LHL,LML,HLH,LHL,HLH,HMH,HMH,MMM,MLM,LHL,LML,LHL,HLH,HLH,HHH,LHL,LLL,LHL",1
"88",4,"HLH,HHH,MHM,HMH,HHH,HMH,LLL,MLM,MHM,LHL,LML,HLH,LHL,HLH,HMH,HMH,MMM,MLM,LHL,LML,LHL,HLH,HLH,HHH,LHL,LLL,LHL",0
"89",4,"HLH,HHH,MHM,HMH,HHH,HMH,LLL,MLM,MHM,LHL,LML,HLH,LHL,HLH,HMH,HMH,MMM,MLM,LHL,LML,LHL,HLH,HLH,HHH,LHL,LLL,LHL",0
"92",4,"HLH,HHH,MHM,HMH,HHH,HMH,LLL,MLM,MHM,LHL,LML,HLH,LHL,HLH,HMH,HMH,MMM,MLM,LHL,LML,LHL,HLH,HLH,HHH,LHL,LLL,LHL",0
"93",4,"HLH,HHH,MHM,HMH,HHH,HMH,LLL,MLM,MHM,LHL,LML,HLH,LHL,HLH,HMH,HMH,MMM,MLM,LHL,LML,LHL,HLH,HLH,HHH,LHL,LLL,LHL",1
"105",6,"HHH,HMH,LHL,HMH,MMM,HLH,HHH,LLL,LHL,LLL,HHH,LLL,LHL,HLH,HHH,LML",1
"106",6,"HHH,HMH,LHL,HMH,MMM,HLH,HHH,LLL,LHL,LLL,HHH,LLL,LHL,HLH,HHH,LML",0
"108",6,"HHH,HMH,LHL,HMH,MMM,HLH,HHH,LLL,LHL,LLL,HHH,LLL,LHL,HLH,HHH,LML",0
"110",6,"HHH,HMH,LHL,HMH,MMM,HLH,HHH,LLL,LHL,LLL,HHH,LLL,LHL,HLH,HHH,LML",0
"111",6,"HHH,HMH,LHL,HMH,MMM,HLH,HHH,LLL,LHL,LLL,HHH,LLL,LHL,HLH,HHH,LML",1
"112",6,"HHH,HMH,LHL,HMH,MMM,HLH,HHH,LLL,LHL,LLL,HHH,LLL,LHL,HLH,HHH,LML",0
"114",6,"HHH,HMH,LHL,HMH,MMM,HLH,HHH,LLL,LHL,LLL,HHH,LLL,LHL,HLH,HHH,LML",0
"115",6,"HHH,HMH,LHL,HMH,MMM,HLH,HHH,LLL,LHL,LLL,HHH,LLL,LHL,HLH,HHH,LML",1
"116",6,"HHH,HMH,LHL,HMH,MMM,HLH,HHH,LLL,LHL,LLL,HHH,LLL,LHL,HLH,HHH,LML",0
"120",7,"LHL,HLH,LHL,LHL,HLH,HMH,LML,HMH,HHH,LML,HLH,LLL,LHL,LML,LHL,HMH,MLM,LLM,LML,LML,HMH,HHH,HMH,MMM,MLM",0
"121",7,"LHL,HLH,LHL,LHL,HLH,HMH,LML,HMH,HHH,LML,HLH,LLL,LHL,LML,LHL,HMH,MLM,LLM,LML,LML,HMH,HHH,HMH,MMM,MLM",1
"122",7,"LHL,HLH,LHL,LHL,HLH,HMH,LML,HMH,HHH,LML,HLH,LLL,LHL,LML,LHL,HMH,MLM,LLM,LML,LML,HMH,HHH,HMH,MMM,MLM",1
"123",7,"LHL,HLH,LHL,LHL,HLH,HMH,LML,HMH,HHH,LML,HLH,LLL,LHL,LML,LHL,HMH,MLM,LLM,LML,LML,HMH,HHH,HMH,MMM,MLM",0
"127",7,"LHL,HLH,LHL,LHL,HLH,HMH,LML,HMH,HHH,LML,HLH,LLL,LHL,LML,LHL,HMH,MLM,LLM,LML,LML,HMH,HHH,HMH,MMM,MLM",1
"129",7,"LHL,HLH,LHL,LHL,HLH,HMH,LML,HMH,HHH,LML,HLH,LLL,LHL,LML,LHL,HMH,MLM,LLM,LML,LML,HMH,HHH,HMH,MMM,MLM",0
"131",7,"LHL,HLH,LHL,LHL,HLH,HMH,LML,HMH,HHH,LML,HLH,LLL,LHL,LML,LHL,HMH,MLM,LLM,LML,LML,HMH,HHH,HMH,MMM,MLM",1
"133",7,"LHL,HLH,LHL,LHL,HLH,HMH,LML,HMH,HHH,LML,HLH,LLL,LHL,LML,LHL,HMH,MLM,LLM,LML,LML,HMH,HHH,HMH,MMM,MLM",1
"135",7,"LHL,HLH,LHL,LHL,HLH,HMH,LML,HMH,HHH,LML,HLH,LLL,LHL,LML,LHL,HMH,MLM,LLM,LML,LML,HMH,HHH,HMH,MMM,MLM",0
"136",7,"LHL,HLH,LHL,LHL,HLH,HMH,LML,HMH,HHH,LML,HLH,LLL,LHL,LML,LHL,HMH,MLM,LLM,LML,LML,HMH,HHH,HMH,MMM,MLM",0
"145",8,"LHL,LHL,HMH,HLH,HHH,HHH,LLL,MLM,HHH,HHH,HMH,LML,LML,MLM,HLH,LLL,LHL,MLH,LML,LHL",1
"146",8,"LHL,LHL,HMH,HLH,HHH,HHH,LLL,MLM,HHH,HHH,HMH,LML,LML,MLM,HLH,LLL,LHL,MLH,LML,LHL",1
"147",8,"LHL,LHL,HMH,HLH,HHH,HHH,LLL,MLM,HHH,HHH,HMH,LML,LML,MLM,HLH,LLL,LHL,MLH,LML,LHL",0
"148",8,"LHL,LHL,HMH,HLH,HHH,HHH,LLL,MLM,HHH,HHH,HMH,LML,LML,MLM,HLH,LLL,LHL,MLH,LML,LHL",1
"149",8,"LHL,LHL,HMH,HLH,HHH,HHH,LLL,MLM,HHH,HHH,HMH,LML,LML,MLM,HLH,LLL,LHL,MLH,LML,LHL",1
"150",8,"LHL,LHL,HMH,HLH,HHH,HHH,LLL,MLM,HHH,HHH,HMH,LML,LML,MLM,HLH,LLL,LHL,MLH,LML,LHL",0
"151",8,"LHL,LHL,HMH,HLH,HHH,HHH,LLL,MLM,HHH,HHH,HMH,LML,LML,MLM,HLH,LLL,LHL,MLH,LML,LHL",0
"152",8,"LHL,LHL,HMH,HLH,HHH,HHH,LLL,MLM,HHH,HHH,HMH,LML,LML,MLM,HLH,LLL,LHL,MLH,LML,LHL",1
"153",8,"LHL,LHL,HMH,HLH,HHH,HHH,LLL,MLM,HHH,HHH,HMH,LML,LML,MLM,HLH,LLL,LHL,MLH,LML,LHL",1
"155",8,"LHL,LHL,HMH,HLH,HHH,HHH,LLL,MLM,HHH,HHH,HMH,LML,LML,MLM,HLH,LLL,LHL,MLH,LML,LHL",0
"157",8,"LHL,LHL,HMH,HLH,HHH,HHH,LLL,MLM,HHH,HHH,HMH,LML,LML,MLM,HLH,LLL,LHL,MLH,LML,LHL",0
"159",8,"LHL,LHL,HMH,HLH,HHH,HHH,LLL,MLM,HHH,HHH,HMH,LML,LML,MLM,HLH,LLL,LHL,MLH,LML,LHL",0
"160",8,"LHL,LHL,HMH,HLH,HHH,HHH,LLL,MLM,HHH,HHH,HMH,LML,LML,MLM,HLH,LLL,LHL,MLH,LML,LHL",1
"161",8,"LHL,LHL,HMH,HLH,HHH,HHH,LLL,MLM,HHH,HHH,HMH,LML,LML,MLM,HLH,LLL,LHL,MLH,LML,LHL",0
"163",8,"LHL,LHL,HMH,HLH,HHH,HHH,LLL,MLM,HHH,HHH,HMH,LML,LML,MLM,HLH,LLL,LHL,MLH,LML,LHL",1
"164",8,"LHL,LHL,HMH,HLH,HHH,HHH,LLL,MLM,HHH,HHH,HMH,LML,LML,MLM,HLH,LLL,LHL,MLH,LML,LHL",0
"167",9,"MLM,LLL,MMM,LHL,MLM,HHH,MLM,HHH,MLM,MMM,LHL,MHM,MMM",1
"171",9,"MLM,LLL,MMM,LHL,MLM,HHH,MLM,HHH,MLM,MMM,LHL,MHM,MMM",1
"172",9,"MLM,LLL,MMM,LHL,MLM,HHH,MLM,HHH,MLM,MMM,LHL,MHM,MMM",0
"178",10,"MMM,HHH,MMM,HLH,MMM,LML,MLM,HLH,MHM,LML,LHL,HLH,MLM,LML,HHH,MHL,LHL,MLM,MLM,MLM,HMH,LML,HMH",1
"180",10,"MMM,HHH,MMM,HLH,MMM,LML,MLM,HLH,MHM,LML,LHL,HLH,MLM,LML,HHH,MHL,LHL,MLM,MLM,MLM,HMH,LML,HMH",0
"183",10,"MMM,HHH,MMM,HLH,MMM,LML,MLM,HLH,MHM,LML,LHL,HLH,MLM,LML,HHH,MHL,LHL,MLM,MLM,MLM,HMH,LML,HMH",0
"185",10,"MMM,HHH,MMM,HLH,MMM,LML,MLM,HLH,MHM,LML,LHL,HLH,MLM,LML,HHH,MHL,LHL,MLM,MLM,MLM,HMH,LML,HMH",1
"187",10,"MMM,HHH,MMM,HLH,MMM,LML,MLM,HLH,MHM,LML,LHL,HLH,MLM,LML,HHH,MHL,LHL,MLM,MLM,MLM,HMH,LML,HMH",1
"188",10,"MMM,HHH,MMM,HLH,MMM,LML,MLM,HLH,MHM,LML,LHL,HLH,MLM,LML,HHH,MHL,LHL,MLM,MLM,MLM,HMH,LML,HMH",0
"189",10,"MMM,HHH,MMM,HLH,MMM,LML,MLM,HLH,MHM,LML,LHL,HLH,MLM,LML,HHH,MHL,LHL,MLM,MLM,MLM,HMH,LML,HMH",0
"193",10,"MMM,HHH,MMM,HLH,MMM,LML,MLM,HLH,MHM,LML,LHL,HLH,MLM,LML,HHH,MHL,LHL,MLM,MLM,MLM,HMH,LML,HMH",1
"194",10,"MMM,HHH,MMM,HLH,MMM,LML,MLM,HLH,MHM,LML,LHL,HLH,MLM,LML,HHH,MHL,LHL,MLM,MLM,MLM,HMH,LML,HMH",0
"195",10,"MMM,HHH,MMM,HLH,MMM,LML,MLM,HLH,MHM,LML,LHL,HLH,MLM,LML,HHH,MHL,LHL,MLM,MLM,MLM,HMH,LML,HMH",0
"201",11,"LLL,LHL,HHH,LLL,MMM,HHH,LLL,MLH,HMH,MHM,LML,LML,HHH,HMH,MLM,LLL,MHM,MMM,LML,MMM,MLM,LLL,MMM,LHL",1
"203",11,"LLL,LHL,HHH,LLL,MMM,HHH,LLL,MLH,HMH,MHM,LML,LML,HHH,HMH,MLM,LLL,MHM,MMM,LML,MMM,MLM,LLL,MMM,LHL",0
"205",11,"LLL,LHL,HHH,LLL,MMM,HHH,LLL,MLH,HMH,MHM,LML,LML,HHH,HMH,MLM,LLL,MHM,MMM,LML,MMM,MLM,LLL,MMM,LHL",1
"206",11,"LLL,LHL,HHH,LLL,MMM,HHH,LLL,MLH,HMH,MHM,LML,LML,HHH,HMH,MLM,LLL,MHM,MMM,LML,MMM,MLM,LLL,MMM,LHL",0
"214",11,"LLL,LHL,HHH,LLL,MMM,HHH,LLL,MLH,HMH,MHM,LML,LML,HHH,HMH,MLM,LLL,MHM,MMM,LML,MMM,MLM,LLL,MMM,LHL",0
"216",11,"LLL,LHL,HHH,LLL,MMM,HHH,LLL,MLH,HMH,MHM,LML,LML,HHH,HMH,MLM,LLL,MHM,MMM,LML,MMM,MLM,LLL,MMM,LHL",1
"223",11,"LLL,LHL,HHH,LLL,MMM,HHH,LLL,MLH,HMH,MHM,LML,LML,HHH,HMH,MLM,LLL,MHM,MMM,LML,MMM,MLM,LLL,MMM,LHL",1
"225",12,"LHL,MLM,MHM,HLH,HHH,HMH,LHL,MLM,HMH,LML,HLH,HMH,MLM,LHL,HMH,MMM",0
"226",12,"LHL,MLM,MHM,HLH,HHH,HMH,LHL,MLM,HMH,LML,HLH,HMH,MLM,LHL,HMH,MMM",1
"227",12,"LHL,MLM,MHM,HLH,HHH,HMH,LHL,MLM,HMH,LML,HLH,HMH,MLM,LHL,HMH,MMM",0
"228",12,"LHL,MLM,MHM,HLH,HHH,HMH,LHL,MLM,HMH,LML,HLH,HMH,MLM,LHL,HMH,MMM",1
"230",12,"LHL,MLM,MHM,HLH,HHH,HMH,LHL,MLM,HMH,LML,HLH,HMH,MLM,LHL,HMH,MMM",1
"231",12,"LHL,MLM,MHM,HLH,HHH,HMH,LHL,MLM,HMH,LML,HLH,HMH,MLM,LHL,HMH,MMM",0
"234",12,"LHL,MLM,MHM,HLH,HHH,HMH,LHL,MLM,HMH,LML,HLH,HMH,MLM,LHL,HMH,MMM",0
"236",12,"LHL,MLM,MHM,HLH,HHH,HMH,LHL,MLM,HMH,LML,HLH,HMH,MLM,LHL,HMH,MMM",0
"237",12,"LHL,MLM,MHM,HLH,HHH,HMH,LHL,MLM,HMH,LML,HLH,HMH,MLM,LHL,HMH,MMM",1
"245",13,"LML,MMM,MMM,MLM,MLM,MHM,MMM,MLM,MHM,MMM,LML,MLM,MHM,MHM,LML,MLM,MMM,HHH,HMH,MMM",1
"262",14,"HMH,HMH,HLH,HMH,MMM,HHH,HHH,LLL,HMH,MLM,HMH,HLH,LHL,HLH,LHL,LHL,HLH",0
"266",14,"HMH,HMH,HLH,HMH,MMM,HHH,HHH,LLL,HMH,MLM,HMH,HLH,LHL,HLH,LHL,LHL,HLH",1
"267",14,"HMH,HMH,HLH,HMH,MMM,HHH,HHH,LLL,HMH,MLM,HMH,HLH,LHL,HLH,LHL,LHL,HLH",0
"268",14,"HMH,HMH,HLH,HMH,MMM,HHH,HHH,LLL,HMH,MLM,HMH,HLH,LHL,HLH,LHL,LHL,HLH",0
"269",14,"HMH,HMH,HLH,HMH,MMM,HHH,HHH,LLL,HMH,MLM,HMH,HLH,LHL,HLH,LHL,LHL,HLH",0
"272",14,"HMH,HMH,HLH,HMH,MMM,HHH,HHH,LLL,HMH,MLM,HMH,HLH,LHL,HLH,LHL,LHL,HLH",1
"273",14,"HMH,HMH,HLH,HMH,MMM,HHH,HHH,LLL,HMH,MLM,HMH,HLH,LHL,HLH,LHL,LHL,HLH",0
"274",14,"HMH,HMH,HLH,HMH,MMM,HHH,HHH,LLL,HMH,MLM,HMH,HLH,LHL,HLH,LHL,LHL,HLH",1
"275",14,"HMH,HMH,HLH,HMH,MMM,HHH,HHH,LLL,HMH,MLM,HMH,HLH,LHL,HLH,LHL,LHL,HLH",1
"276",14,"HMH,HMH,HLH,HMH,MMM,HHH,HHH,LLL,HMH,MLM,HMH,HLH,LHL,HLH,LHL,LHL,HLH",0
"279",15,"LHL,LML,HLH,MLM,LML,LML,HMH,HHH,MMM,LML,LML,HLH,LML,MHM,LHL",0
"280",15,"LHL,LML,HLH,MLM,LML,LML,HMH,HHH,MMM,LML,LML,HLH,LML,MHM,LHL",0
"283",15,"LHL,LML,HLH,MLM,LML,LML,HMH,HHH,MMM,LML,LML,HLH,LML,MHM,LHL",0
"284",15,"LHL,LML,HLH,MLM,LML,LML,HMH,HHH,MMM,LML,LML,HLH,LML,MHM,LHL",1
"287",15,"LHL,LML,HLH,MLM,LML,LML,HMH,HHH,MMM,LML,LML,HLH,LML,MHM,LHL",0
"288",15,"LHL,LML,HLH,MLM,LML,LML,HMH,HHH,MMM,LML,LML,HLH,LML,MHM,LHL",0
